Experimento,Nº Usuários,Unidade ID,Data/Hora Início,Status Execução,Duração (ms),Conexões ativas,Nº blocos lidos do disco,Nº blocos lidos da cache,Nº Arq. Temp.,Tamanho Arq. Temp.,I/O Read,I/O Write,Taxa de uso da cache
Exp_01, 3, 18008, 2025-02-13T11:23:14.944375, SUCCESS, 2777, 9, 90379, 3043971, 34, 2223095808, 0.0, 0.0, 97.1164994336943864
Exp_01, 3, 18007, 2025-02-13T11:23:15.166508, SUCCESS, 2560, 9, 90379, 3043971, 34, 2223095808, 0.0, 0.0, 97.1164994336943864
Exp_01, 3, 18008, 2025-02-13T11:23:17.654456, SUCCESS, 2002, 7, 90379, 3192960, 35, 2288517120, 0.0, 0.0, 97.2473448522982245
Exp_01, 3, 18006, 2025-02-13T11:23:17.725129, SUCCESS, 2027, 9, 90379, 3226987, 36, 2353774592, 0.0, 0.0, 97.2755794808290674
Exp_01, 3, 18007, 2025-02-13T11:23:17.729185, SUCCESS, 2960, 11, 90379, 3317159, 37, 2420424704, 0.0, 0.0, 97.3476744793454981
Exp_01, 3, 18008, 2025-02-13T11:23:19.661253, SUCCESS, 1978, 8, 90379, 3437503, 38, 2485641216, 0.0, 0.0, 97.4381512760347427
Exp_01, 3, 18006, 2025-02-13T11:23:19.755330, SUCCESS, 2051, 9, 90379, 3500098, 39, 2551095296, 0.0, 0.0, 97.4828135648828832
Exp_01, 3, 18007, 2025-02-13T11:23:20.691910, SUCCESS, 2864, 11, 90379, 3622730, 40, 2617745408, 0.0, 0.0, 97.5659481044052302
Exp_01, 3, 18008, 2025-02-13T11:23:21.642705, SUCCESS, 2134, 10, 90379, 3711246, 41, 2682945536, 0.0, 0.0, 97.6226219051063690
Exp_01, 3, 18006, 2025-02-13T11:23:21.809484, SUCCESS, 2237, 11, 90379, 3773241, 42, 2748129280, 0.0, 0.0, 97.6607689161977627
Exp_01, 3, 18008, 2025-02-13T11:23:23.783350, SUCCESS, 1968, 10, 90379, 3864672, 43, 2813321216, 0.0, 0.0, 97.7148461549547654
Exp_01, 3, 18007, 2025-02-13T11:23:23.561438, SUCCESS, 2428, 11, 90379, 3955435, 44, 2879201280, 0.0, 0.0, 97.7661108493865511
Exp_01, 3, 18006, 2025-02-13T11:23:24.049381, SUCCESS, 2162, 11, 90379, 4046275, 45, 2944802816, 0.0, 0.0, 97.8151665573190313
Exp_01, 3, 18007, 2025-02-13T11:23:25.755732, SUCCESS, 1672, 10, 90379, 4137706, 46, 3010035712, 0.0, 0.0, 97.8624128890502438
Exp_01, 3, 18008, 2025-02-13T11:23:25.995939, SUCCESS, 1993, 11, 90379, 4228469, 47, 3075571712, 0.0, 0.0, 97.9073354746450905
Exp_01, 3, 18006, 2025-02-13T11:23:26.215857, SUCCESS, 2133, 11, 90379, 4319309, 48, 3141255168, 0.0, 0.0, 97.9504445665997232
Exp_01, 3, 18007, 2025-02-13T11:23:27.431041, SUCCESS, 1775, 10, 90379, 4410740, 49, 3206692864, 0.0, 0.0, 97.9920770812769003
Exp_01, 3, 18008, 2025-02-13T11:23:27.992191, SUCCESS, 1742, 11, 90379, 4501503, 50, 3272622080, 0.0, 0.0, 98.0317656246393091
Exp_01, 3, 18006, 2025-02-13T11:23:28.352667, SUCCESS, 1776, 11, 90379, 4592343, 51, 3338158080, 0.0, 0.0, 98.0699473511346606
Exp_01, 3, 18007, 2025-02-13T11:23:29.210364, SUCCESS, 1693, 10, 90379, 4683774, 52, 3403431936, 0.0, 0.0, 98.1069102728798176
Exp_01, 3, 18008, 2025-02-13T11:23:29.737003, SUCCESS, 1883, 11, 90379, 4774537, 53, 3469295616, 0.0, 0.0, 98.1422289716821421
Exp_01, 3, 18006, 2025-02-13T11:23:30.131748, SUCCESS, 1984, 11, 90379, 4865377, 54, 3534946304, 0.0, 0.0, 98.1762822866985380
Exp_01, 3, 18007, 2025-02-13T11:23:30.906715, SUCCESS, 2742, 10, 90379, 4956808, 55, 3600154624, 0.0, 0.0, 98.2093193693833813
Exp_01, 3, 18008, 2025-02-13T11:23:31.622248, SUCCESS, 2838, 11, 90379, 5047571, 56, 3665993728, 0.0, 0.0, 98.2409521307136115
Exp_01, 3, 18006, 2025-02-13T11:23:32.121697, SUCCESS, 2733, 11, 90379, 5138488, 57, 3731816448, 0.0, 0.0, 98.2715376007842617
Exp_01, 3, 18007, 2025-02-13T11:23:33.654233, SUCCESS, 2493, 10, 90379, 5229919, 58, 3797270528, 0.0, 0.0, 98.3012417725473272
Exp_01, 3, 18008, 2025-02-13T11:23:34.463979, SUCCESS, 2874, 11, 90379, 5320682, 59, 3863175168, 0.0, 0.0, 98.3297360720938093
Exp_01, 3, 18006, 2025-02-13T11:23:34.857855, SUCCESS, 2614, 11, 90379, 5411522, 60, 3928686592, 0.0, 0.0, 98.3573132268283272
Exp_01, 3, 18007, 2025-02-13T11:23:36.152221, SUCCESS, 1931, 10, 90379, 5502953, 61, 3993903104, 0.0, 0.0, 98.3841652882396396
Exp_01, 3, 18006, 2025-02-13T11:23:37.474329, SUCCESS, 1868, 11, 90379, 5593793, 62, 4059529216, 0.0, 0.0, 98.4099882973280893
Exp_01, 3, 18008, 2025-02-13T11:23:37.341713, SUCCESS, 2084, 11, 90379, 5684556, 63, 4125450240, 0.0, 0.0, 98.4349780560300679
Exp_01, 3, 18007, 2025-02-13T11:23:38.088360, SUCCESS, 1779, 10, 90379, 5775987, 64, 4190879744, 0.0, 0.0, 98.4593699063440638
Exp_01, 3, 18008, 2025-02-13T11:23:39.346528, SUCCESS, 2029, 8, 90379, 5957590, 66, 4322435072, 0.0, 0.0, 98.5056305678815483
Exp_01, 3, 18006, 2025-02-13T11:23:39.432168, SUCCESS, 1960, 8, 90379, 5957590, 66, 4322435072, 0.0, 0.0, 98.5056305678815483
Exp_01, 5, 18007, 2025-02-13T11:23:46.404377, SUCCESS, 1431, 10, 90379, 6049865, 67, 4387659776, 0.0, 0.0, 98.5280878088883764
Exp_01, 5, 18008, 2025-02-13T11:23:47.653455, SUCCESS, 1846, 8, 90379, 6198694, 68, 4452950016, 0.0, 0.0, 98.5629201632736653
Exp_01, 5, 18006, 2025-02-13T11:23:47.838840, SUCCESS, 1836, 10, 90379, 6232727, 69, 4518191104, 0.0, 0.0, 98.5706549913918887
Exp_01, 5, 18008, 2025-02-13T11:23:49.504033, SUCCESS, 2097, 10, 90379, 6324158, 70, 4583628800, 0.0, 0.0, 98.5910284717353723
