Experimento,Nº Usuários,Unidade ID,Data/Hora Início,Status Execução,Duração (ms),Conexões ativas,Nº blocos lidos do disco,Nº blocos lidos da cache,Nº Arq. Temp.,Tamanho Arq. Temp.,I/O Read,I/O Write,Taxa de uso da cache
Exp_03, 1, 18007, 2025-02-13T10:45:22.257025, SUCCESS, 1588, 5, 31067, 52978, 1, 27779072, 0.0, 0.0, 63.0352787197334761
Exp_03, 1, 18008, 2025-02-13T10:45:23.853870, SUCCESS, 1066, 5, 54116, 109304, 1, 27779072, 0.0, 0.0, 66.8853261534695876
Exp_03, 1, 18006, 2025-02-13T10:45:24.923773, SUCCESS, 1056, 5, 77157, 165356, 1, 27779072, 0.0, 0.0, 68.1843859916787966
Exp_03, 1, 18007, 2025-02-13T10:45:25.983515, SUCCESS, 827, 5, 77157, 217663, 1, 27779072, 0.0, 0.0, 73.8291160708228750
Exp_03, 1, 18008, 2025-02-13T10:45:26.813339, SUCCESS, 856, 5, 77157, 316265, 1, 27779072, 0.0, 0.0, 80.3882345166259131
Exp_03, 1, 18006, 2025-02-13T10:45:27.672632, SUCCESS, 774, 5, 77157, 368567, 1, 27779072, 0.0, 0.0, 82.6895118952535650
Exp_03, 1, 18007, 2025-02-13T10:45:28.450066, SUCCESS, 780, 5, 77157, 467204, 1, 27779072, 0.0, 0.0, 85.8261337605008441
Exp_03, 1, 18008, 2025-02-13T10:45:29.236393, SUCCESS, 803, 5, 77157, 518886, 1, 27779072, 0.0, 0.0, 87.0551285729385296
Exp_03, 1, 18006, 2025-02-13T10:45:30.045501, SUCCESS, 649, 5, 77157, 618107, 1, 27779072, 0.0, 0.0, 88.9024888387720348
Exp_03, 1, 18007, 2025-02-13T10:45:30.700244, SUCCESS, 640, 5, 77157, 669266, 1, 27779072, 0.0, 0.0, 89.6630998776832975
Exp_03, 1, 18008, 2025-02-13T10:45:31.342913, SUCCESS, 630, 5, 77157, 769027, 1, 27779072, 0.0, 0.0, 90.8817703950913749
Exp_03, 1, 18006, 2025-02-13T10:45:31.975986, SUCCESS, 695, 5, 77157, 821035, 1, 27779072, 0.0, 0.0, 91.4097431284179774
Exp_03, 2, 18008, 2025-02-13T10:45:37.683791, SUCCESS, 670, 5, 77157, 896946, 1, 27779072, 0.0, 0.0, 92.0791743788901174
Exp_03, 2, 18006, 2025-02-13T10:45:38.357557, SUCCESS, 615, 5, 77157, 995416, 1, 27779072, 0.0, 0.0, 92.8063637626529849
Exp_03, 2, 18007, 2025-02-13T10:45:38.978038, SUCCESS, 621, 5, 77157, 1047153, 1, 27779072, 0.0, 0.0, 93.1373909331056381
Exp_03, 2, 18008, 2025-02-13T10:45:39.602069, SUCCESS, 994, 7, 77157, 1146328, 1, 27779072, 0.0, 0.0, 93.6936701308148445
Exp_03, 2, 18006, 2025-02-13T10:45:39.686420, SUCCESS, 1056, 7, 77157, 1230411, 1, 27779072, 0.0, 0.0, 94.0991979002239272
Exp_03, 2, 18007, 2025-02-13T10:45:40.599542, SUCCESS, 1046, 9, 77157, 1283294, 1, 27779072, 0.0, 0.0, 94.3285719221052430
Exp_03, 2, 18008, 2025-02-13T10:45:40.746181, SUCCESS, 1203, 9, 77157, 1385297, 1, 27779072, 0.0, 0.0, 94.7241417507832725
Exp_03, 2, 18006, 2025-02-13T10:45:41.651456, SUCCESS, 961, 9, 77157, 1437565, 1, 27779072, 0.0, 0.0, 94.9061940078773531
Exp_03, 2, 18007, 2025-02-13T10:45:41.954519, SUCCESS, 1019, 9, 77157, 1516664, 1, 27779072, 0.0, 0.0, 95.1589921327426355
Exp_03, 2, 18008, 2025-02-13T10:45:42.616419, SUCCESS, 859, 9, 77157, 1615302, 1, 27779072, 0.0, 0.0, 95.4411303316653461
Exp_03, 2, 18006, 2025-02-13T10:45:42.976815, SUCCESS, 828, 9, 77157, 1666599, 1, 27779072, 0.0, 0.0, 95.5752410314287091
Exp_03, 2, 18007, 2025-02-13T10:45:43.480295, SUCCESS, 950, 9, 77157, 1720641, 1, 27779072, 0.0, 0.0, 95.7082497588716864
